MUESTRA;DEPARTAMENTO;MUNICIPIO;ALTITUD;HUMEDAD;PESO.INI.PERG;PESO.ALMEN;MERMA;%M 18/64;%M 17/64;%M 16/64;%M 15/64;%M 14/64;%M 13/64;%M 12/64;%FONDO;GRANOS.G1;PESO.GRANOS.G1;GRANOS.G2;PESO.GRANOS.G2;GRANO.BROC.P;PESO.GRANO.B.P;GRANOS.DEF;PESO.DEF;PORCENTAJE.DEF;ALM.VERD.L*;ALM.VERD.a*;ALM.VERD.b*;ALM.VERD.X;ALM.VERD.Y;ALM.VERD.Z;CAFE.TOS.L*;CAFE.TOS.a*;CAFE.TOS.b*;CAFE.TOS.X;CAFE.TOS.Y;CAFE.TOS.Z;Aroma;Sabor;Sabor.Residual;Acidez;Cuerpo;Balance;Uniformidad;Taza.Limpia;Dulzor;Overall
1;CUNDINAMARCA;VILLETA;820;11,32;250,38;207,88;16,97;29,09;33,81;24,78;8,25;3,51;0;0,54;0,02;5;0,71;33;4,72;0;0;38;5,43;2,61;45,42;0,67;15,61;14,18;14,84;9,87;26,75;8,1;13,43;5,4;5;2,94;6,5;5;4,5;5,5;4,5;5;5,5;5;5,5;5
2;CUNDINAMARCA;FALTANTE;3000;8,74;250,42;206,51;17,53;30,17;32;24,4;9,4;2,99;0;0,97;0,02;1;0,26;8;1,25;1;0,16;10;1,67;0,81;45,51;1,1;16,35;14,31;14,91;9,68;25,25;7,3;11,79;4,81;4,5;2,8;6;6;6;6;5,5;5,5;5;5,5;5,5;5,5
3;CUNDINAMARCA;GUADUAS;990;10,57;250,2;208,94;16,49;36,77;35,52;17,81;6,63;2,63;0;0,67;0,05;5;0,61;22;3,23;4;0,69;31;4,53;2,17;47,53;1,05;16,21;15,75;16,43;10,9;26,39;8,07;12,93;5,27;4,88;2,92;5,5;4,5;4;5;4;4,5;4;4,5;5;4
4;CUNDINAMARCA;GUADUAS;990;10,64;250,14;207,22;17,16;25,51;31,88;24,98;11,31;5,06;0;1,22;0,09;1;0,11;12;1,51;8;1,12;21;2,74;1,32;44,21;0,92;14,5;13,4;13,98;9,55;25,87;8,46;13,14;5,12;4,7;2,76;5,5;6;6;6;6;6;6,5;6;5,5;6
5;CUNDINAMARCA;VERGARA;1540;9,82;250,58;205,76;17,89;20,87;28,19;27,94;13,69;6,84;0;2,39;0,05;0;0;39;4,99;11;1,67;50;6,66;3,24;44,43;1,34;14,93;13,61;14,14;9,54;26,8;7,46;12,63;5,37;5,02;3,07;5,5;5;5;4,5;4,5;5;5;5;5;4
6;CUNDINAMARCA;CUNDINAMARCA;3341;9,96;250,29;210,03;16,09;46,98;28,59;14,44;7,41;1,82;0;0,74;0,02;4;0,58;20;2,61;1;0,07;25;3,26;1,55;47,39;1,57;16,37;15,74;16,32;10,76;25,21;7,63;12,51;4,82;4,49;2,69;5;5,5;5;5,5;5;5,5;5,5;5;5,5;5
7;CUNDINAMARCA;CUNDINAMARCA;3341;9,76;250,07;210,77;15,72;30,12;34,17;22,36;9,19;2,98;0;0,63;0,08;2;0,27;14;1,78;6;0,89;22;2,94;1,39;43,38;1,11;15,01;12,88;13,41;8,94;27,15;7,47;13,44;5,49;5,15;3,04;5;5,5;5;5,5;5;5,5;5,5;5,5;6;5,5
8;CUNDINAMARCA;SAN FRANCISCO;1500;10,44;250,16;208,96;16,47;24,21;34,22;23,15;11,88;5,44;0;1,09;0;2;0,2;26;3,9;15;2,25;43;6,35;3,04;45,14;1,52;16,34;14,13;14,64;9,48;25,03;7,76;11,91;4,77;4,42;2,73;5,5;5,5;5,5;6;5;5,5;5,5;5,5;5,5;5,5
9;TOLIMA;IBAGUE;1230;9,08;250,18;205,81;17,74;26,47;31,71;23,88;10,23;5,32;0;2,08;0,26;1;0,1;35;4,26;8;1,29;44;5,65;2,75;46,24;1,03;16,85;14,82;15,45;9,93;24,55;7,93;12,64;4,63;4,27;2,52;5;5;5;5;4,5;5;5;5;4,5;5
10;TOLIMA;IBAGUE;1230;10,03;250,45;206,86;17,4;33,81;37,93;19,61;6,21;2,16;0;0,24;0;0;0;17;2,52;7;1;24;3,52;1,7;43,52;1,25;15,8;13;13,51;8,78;24,72;7,31;11,44;4,64;4,33;2,72;6,5;6,5;6,5;5,5;6,5;6,5;7;7;5;6,5
11;TOLIMA;IBAGUE;1230;9,89;250,57;208,04;16,97;60,13;25,88;9,44;2,89;0,98;0;0,56;0;10;1,31;21;3,7;0;0;31;5,01;2,41;43,66;0,68;15,93;13;13,6;8,81;26,35;7,62;12,8;5,22;4,87;2,93;6;5,5;5,5;5,5;5;5,5;5,5;5;5,5;5
12;TOLIMA;IBAGUE;1230;9,55;250,06;204,74;18,12;9,27;28,24;35,79;17,52;7,28;0;1,68;0,12;6;0,56;37;4,61;3;0,45;46;5,62;2,74;44,59;1,05;15,78;13,67;14,25;9,35;24,71;7,72;12,07;4,66;4,32;2,63;4;5,5;5,5;5;5,5;5;5,5;5,5;4,5;5
13;TOLIMA;IBAGUE;1230;10,31;250,28;205,36;17,95;25,36;32,33;24,87;9,87;5,58;0;1,74;0,14;2;0,12;36;4,5;39;5,17;77;9,79;4,77;42,17;1,03;16,34;12,11;12,61;7,94;25,39;7,06;11,91;4,84;4,54;2,82;3,5;3,5;3;3,5;3;4;3,5;3;4;3
14;TOLIMA;IBAGUE;1230;9,15;250,58;202,77;19,08;6,74;29,28;38,68;16,04;6,75;0;2,38;0;1;0,01;13;1,65;0;0;14;1,66;0,82;46,85;1,24;15,68;15,29;15,9;10,68;24;6,9;10,84;4,37;4,1;2,63;4;4;4;4;4;4;4;3,5;4;3,5
15;TOLIMA;IBAGUE;1230;10,57;250,5;212,62;15,12;37,93;33,53;18,04;6,99;2,89;0;0,51;0;3;0,36;13;2,15;2;0,34;18;2,85;1,34;45,66;1,07;15,96;14,41;15,02;9,89;24,72;7,38;11,3;4,64;4,33;2,74;5;4,5;4,5;4,5;4;4,5;5;4,5;4,5;4,5
16;TOLIMA;IBAGUE;1230;8,94;250,2;207,36;17,12;42,26;26,32;19,29;7,75;3,35;0;1,06;0,05;0;0;38;5;12;1,89;50;6,89;3,32;44,99;1,51;16,21;14,02;14,54;9,44;24,53;7,7;12,28;4,6;4,26;2,56;5;5,5;5;5;5;5;5,5;5;5;5
